date,equipment,is_holiday,is_weekend,recorded_at,total_patients_last_7_days,total_patients_last_day,total_usage_last_7_days,total_usage_last_day,value
2023-05-20,CT Scanners,0,1,2023-05-20 12:19:00,937,128,76,12,12
2023-10-04,Surgical Instrument Sets,0,0,2023-10-04 07:40:00,762,109,105,14,14
2024-06-24,Ultrasound Machines,0,0,2024-06-24 02:49:00,786,115,158,22,22
2024-08-12,X-ray Machines,0,0,2024-08-12 18:31:00,773,115,263,35,35
2023-08-17,Suction Machines,0,0,2023-08-17 07:24:00,802,110,195,28,28
2024-06-30,X-ray Machines,0,1,2024-06-30 23:08:00,867,121,273,35,35
2023-12-04,Crash Carts,0,0,2023-12-04 11:24:00,830,118,28,6,6
2023-07-09,Electrosurgical Units (Cautery),0,1,2023-07-09 18:00:00,859,119,48,7,7
2024-03-28,IV Stands,0,0,2024-03-28 16:37:00,752,103,333,50,50
2023-11-10,Ventilators,0,0,2023-11-10 06:41:00,941,130,165,24,24
2023-07-25,IV Stands,0,0,2023-07-25 10:58:00,731,104,338,49,49
2023-03-04,Ultrasound Machines,0,1,2023-03-04 19:56:00,853,129,226,33,33
2023-07-02,Ultrasound Machines,0,1,2023-07-02 04:13:00,712,102,198,28,28
2024-12-01,CT Scanners,0,1,2024-12-01 12:08:00,730,104,90,13,13
2023-10-25,Crash Carts,0,0,2023-10-25 12:34:00,796,115,0,0,0
2023-02-24,Bedside Lockers,0,0,2023-02-24 13:51:00,860,117,474,67,67
2024-12-06,Electrosurgical Units (Cautery),0,0,2024-12-06 13:13:00,905,123,70,11,11
2023-09-04,Surgical Instrument Sets,0,0,2023-09-04 17:47:00,692,103,0,2,2
2024-03-28,Infusion Pumps / Syringe Pumps,0,0,2024-03-28 05:06:00,889,124,299,43,43
2023-11-19,Bedside Lockers,0,1,2023-11-19 08:53:00,684,100,353,50,50
2023-05-17,Wheelchairs,0,0,2023-05-17 12:39:00,790,115,229,32,32
2023-10-17,ECG Machines,0,0,2023-10-17 01:33:00,961,136,300,42,42
2023-10-03,Suction Machines,0,0,2023-10-03 16:49:00,848,125,166,23,23
2023-02-18,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,1,2023-02-18 15:04:00,848,122,310,45,45
2024-05-15,Operation Tables,0,0,2024-05-15 03:17:00,904,135,100,12,12
2023-01-20,Operation Tables,0,0,2023-01-20 08:51:00,879,125,44,5,5
2024-04-06,Surgical Instrument Sets,1,1,2024-04-06 20:14:00,783,109,103,15,15
2024-12-20,Oxygen Cylinders / Central Oxygen Supply,0,0,2024-12-20 17:25:00,841,127,304,45,45
2024-01-04,Ultrasound Machines,0,0,2024-01-04 02:21:00,814,120,209,30,30
2024-05-31,Infusion Pumps / Syringe Pumps,0,0,2024-05-31 11:23:00,841,125,311,44,44
2023-06-14,Stretchers,0,0,2023-06-14 11:38:00,909,128,149,24,24
2024-04-02,Defibrillators,0,0,2024-04-02 03:56:00,843,120,8,2,2
2024-09-02,IV Stands,0,0,2024-09-02 22:38:00,754,106,355,51,51
2024-09-06,Stretchers,1,0,2024-09-06 08:16:00,848,125,189,25,25
2024-06-17,Surgical Instrument Sets,0,0,2024-06-17 16:35:00,833,113,85,11,11
2023-05-02,Crash Carts,0,0,2023-05-02 07:06:00,816,122,27,5,5
2024-09-06,Suction Machines,0,0,2024-09-06 10:03:00,716,108,159,24,24
2024-01-24,Suction Machines,0,0,2024-01-24 08:25:00,897,126,171,26,26
2024-04-25,Infusion Pumps / Syringe Pumps,0,0,2024-04-25 20:43:00,750,102,219,33,33
2023-10-19,Crash Carts,0,0,2023-10-19 05:19:00,736,106,0,0,0
2024-07-04,Suction Machines,0,0,2024-07-04 08:02:00,938,127,161,24,24
2023-11-27,Crash Carts,0,0,2023-11-27 16:55:00,898,128,0,0,0
2024-05-06,Defibrillators,0,0,2024-05-06 20:31:00,815,116,54,5,5
2024-07-03,Wheelchairs,0,0,2024-07-03 11:10:00,766,109,234,32,32
2023-03-04,Electrosurgical Units (Cautery),0,1,2023-03-04 07:57:00,963,131,57,8,8
2023-11-24,Sterilization Equipment (Autoclaves),0,0,2023-11-24 01:24:00,822,119,108,15,15
2023-10-31,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,0,2023-10-31 17:20:00,784,112,300,41,41
2024-12-25,Surgical Lights,0,0,2024-12-25 02:24:00,836,118,69,10,10
2023-05-14,"Blood Analysis Machines (CBC, Biochemistry Analyzers)",0,1,2023-05-14 10:12:00,897,128,310,45,45
2023-03-01,Suction Machines,0,0,2023-03-01 08:41:00,868,119,166,23,23
