date,equipment,is_holiday,is_weekend,recorded_at,total_patients_last_7_days,total_patients_last_day,total_usage_last_7_days,total_usage_last_day,value
2024-01-20,Stretchers,False,True,2026-04-17 08:55:29,655,86,64,9,26
2024-09-12,Stretchers,False,False,2026-04-17 08:55:29,606,99,38,5,12
2024-07-25,IV Stands,False,False,2026-04-17 08:55:29,716,114,53,9,34
2024-01-04,Crash Carts,False,False,2026-04-17 08:55:29,1416,197,221,39,115
2024-10-01,Defibrillators,False,False,2026-04-17 08:55:29,972,128,96,15,44
2024-10-13,Surgical Instrument Sets,False,True,2026-04-17 08:55:29,939,151,243,37,107
2024-09-25,Wheelchairs,False,False,2026-04-17 08:55:29,1149,171,70,13,37
2024-10-23,Crash Carts,False,False,2026-04-17 08:55:29,1443,203,65,12,37
2024-04-19,Stretchers,False,False,2026-04-17 08:55:29,1170,173,283,39,116
2024-04-08,Surgical Instrument Sets,False,False,2026-04-17 08:55:29,805,132,44,7,22
2024-04-01,Crash Carts,False,False,2026-04-17 08:55:29,1020,133,177,27,79
2024-10-30,Defibrillators,False,False,2026-04-17 08:55:29,896,114,142,22,69
2024-06-18,Defibrillators,False,False,2026-04-17 08:55:29,1104,177,277,39,113
2024-04-14,Electrosurgical Units (Cautery),False,True,2026-04-17 08:55:29,1281,203,252,37,107
2024-11-02,Stretchers,False,True,2026-04-17 08:55:29,1070,144,186,24,70
2024-03-14,X-ray Machines,False,False,2026-04-17 08:55:29,803,109,141,24,75
2024-02-20,X-ray Machines,False,False,2026-04-17 08:55:29,1251,198,175,35,106
2024-09-11,Defibrillators,True,False,2026-04-17 08:55:29,1647,213,234,37,111
2024-05-02,Crash Carts,False,False,2026-04-17 08:55:29,1552,200,309,47,140
2024-08-02,Surgical Instrument Sets,False,False,2026-04-17 08:55:29,1665,217,287,39,118
2024-10-28,Electrosurgical Units (Cautery),False,False,2026-04-17 08:55:29,1508,189,237,36,107
2024-02-01,Surgical Instrument Sets,False,False,2026-04-17 08:55:29,1030,139,99,14,42
2024-03-10,Electrosurgical Units (Cautery),False,True,2026-04-17 08:55:29,1110,173,272,40,118
2024-10-19,CT Scanners,False,True,2026-04-17 08:55:29,657,91,148,20,58
2024-01-23,Stretchers,True,False,2026-04-17 08:55:29,1126,144,90,14,45
2024-01-27,CT Scanners,False,True,2026-04-17 08:55:29,660,85,74,10,31
2024-09-13,IV Stands,False,False,2026-04-17 08:55:29,1199,166,201,30,93
2024-10-09,Surgical Instrument Sets,False,False,2026-04-17 08:55:29,780,107,134,19,59
2024-05-01,Crash Carts,False,False,2026-04-17 08:55:29,1032,159,175,23,71
2024-06-17,Stretchers,False,False,2026-04-17 08:55:29,1148,178,182,30,92
2024-06-01,Surgical Instrument Sets,True,True,2026-04-17 08:55:29,931,154,79,10,32
2024-04-11,Surgical Instrument Sets,False,False,2026-04-17 08:55:29,610,86,66,9,31
2024-08-01,IV Stands,False,False,2026-04-17 08:55:29,816,120,144,27,76
2024-02-02,Stretchers,False,False,2026-04-17 08:55:29,509,83,87,15,47
2024-06-27,Stretchers,False,False,2026-04-17 08:55:29,593,94,36,6,20
2024-01-07,X-ray Machines,False,True,2026-04-17 08:55:29,1206,193,98,13,40
2024-03-09,X-ray Machines,False,True,2026-04-17 08:55:29,1046,139,130,18,52
2024-12-21,Crash Carts,False,True,2026-04-17 08:55:29,1221,191,250,36,106
2024-11-04,IV Stands,False,False,2026-04-17 08:55:29,1173,190,254,42,123
2024-12-07,Electrosurgical Units (Cautery),False,True,2026-04-17 08:55:29,1310,212,99,14,44
2024-03-07,Stretchers,False,False,2026-04-17 08:55:29,1540,211,147,19,53
2024-01-03,X-ray Machines,False,False,2026-04-17 08:55:29,1106,149,209,30,91
2024-08-28,Ventilators,False,False,2026-04-17 08:55:29,1233,158,244,38,113
2024-10-27,Surgical Instrument Sets,False,True,2026-04-17 08:55:29,759,108,80,13,34
2024-11-22,Surgical Instrument Sets,False,False,2026-04-17 08:55:29,1045,174,232,34,104
2024-06-02,Electrosurgical Units (Cautery),False,True,2026-04-17 08:55:29,1362,208,251,38,114
2024-02-24,Surgical Instrument Sets,False,True,2026-04-17 08:55:29,634,99,151,24,71
2024-08-20,CT Scanners,False,False,2026-04-17 08:55:29,607,81,82,14,42
2024-01-13,Surgical Instrument Sets,False,True,2026-04-17 08:55:29,1468,196,171,26,77
2024-09-08,Ventilators,False,True,2026-04-17 08:55:29,1181,152,166,27,83
2024-03-27,IV Stands,False,False,2026-04-17 08:55:29,1343,168,101,17,50
2024-09-14,Wheelchairs,False,True,2026-04-17 08:55:29,1224,179,168,30,92
2024-11-14,Crash Carts,False,False,2026-04-17 08:55:29,1494,218,105,18,55
2024-05-09,Ventilators,False,False,2026-04-17 08:55:29,849,110,156,23,70
2024-09-18,IV Stands,False,False,2026-04-17 08:55:29,723,115,154,20,61
2024-05-03,Electrosurgical Units (Cautery),False,False,2026-04-17 08:55:29,614,81,92,17,53
2024-03-19,X-ray Machines,False,False,2026-04-17 08:55:29,1290,168,58,11,37
2024-06-16,Stretchers,False,True,2026-04-17 08:55:29,1524,218,161,31,91
2024-05-04,Crash Carts,False,True,2026-04-17 08:55:29,966,145,52,9,26
2024-11-11,Ventilators,False,False,2026-04-17 08:55:29,1107,170,274,36,110
2024-06-30,Ventilators,False,True,2026-04-17 08:55:29,780,103,74,14,46
2024-07-30,Ventilators,False,False,2026-04-17 08:55:29,1642,212,172,27,82
2024-10-05,Wheelchairs,False,True,2026-04-17 08:55:29,699,113,60,11,37
2024-11-07,Stretchers,True,False,2026-04-17 08:55:29,1053,157,113,16,46
2024-01-18,CT Scanners,False,False,2026-04-17 08:55:29,919,133,250,32,94
2024-04-15,CT Scanners,False,False,2026-04-17 08:55:29,818,107,85,13,37
2024-05-26,Crash Carts,False,True,2026-04-17 08:55:29,1150,147,229,31,99
2024-01-08,CT Scanners,False,False,2026-04-17 08:55:29,950,130,74,10,28
2024-04-13,Electrosurgical Units (Cautery),True,True,2026-04-17 08:55:29,1028,158,180,28,83
2024-10-10,IV Stands,False,False,2026-04-17 08:55:29,1041,169,60,10,32
2024-01-04,Stretchers,False,False,2026-04-17 08:55:29,639,90,120,18,58
2024-02-12,X-ray Machines,False,False,2026-04-17 08:55:29,647,84,35,5,15
2024-06-19,IV Stands,False,False,2026-04-17 08:55:29,1268,185,73,12,32
2024-10-10,Ventilators,False,False,2026-04-17 08:55:29,1030,137,232,32,100
2024-03-08,IV Stands,False,False,2026-04-17 08:55:29,1721,218,169,32,97
2024-10-08,X-ray Machines,False,False,2026-04-17 08:55:29,1051,136,54,8,23
2024-02-10,CT Scanners,False,True,2026-04-17 08:55:29,860,142,68,13,39
2024-11-28,IV Stands,False,False,2026-04-17 08:55:29,1563,201,313,48,144
2024-11-02,CT Scanners,False,True,2026-04-17 08:55:29,1596,212,266,41,128
2024-01-18,Defibrillators,False,False,2026-04-17 08:55:29,641,82,93,17,50
2024-08-11,X-ray Machines,False,True,2026-04-17 08:55:29,1249,194,326,46,132
2024-03-07,Surgical Instrument Sets,False,False,2026-04-17 08:55:29,1488,198,233,36,104
2024-11-10,Wheelchairs,False,True,2026-04-17 08:55:29,1281,208,266,37,112
2024-08-05,Stretchers,False,False,2026-04-17 08:55:29,1409,202,107,15,49
2024-09-21,Surgical Instrument Sets,False,True,2026-04-17 08:55:29,603,81,30,4,12
2024-04-05,Defibrillators,False,False,2026-04-17 08:55:29,1403,185,199,29,82
2024-05-11,IV Stands,False,True,2026-04-17 08:55:29,1519,198,214,34,105
2024-10-27,Surgical Instrument Sets,False,True,2026-04-17 08:55:29,807,121,37,7,25
2024-01-16,X-ray Machines,False,False,2026-04-17 08:55:29,1305,166,191,25,74
2024-08-29,Stretchers,False,False,2026-04-17 08:55:29,699,93,160,21,60
