equipment,date,recorded_at,total_patients_last_day,total_patients_last_7_days,total_usage_last_day,total_usage_last_7_days,value,is_holiday,is_weekend
"Patient Monitors (ECG, BP, SpO2)",2026-04-14,2026-04-17T19:36:05.487950,1,7,0,0,0,false,false
"CT Scanners",2026-04-14,2026-04-17T19:36:05.487950,1,7,0,0,0,false,false
"Wheelchairs",2026-04-14,2026-04-17T19:36:05.487950,1,7,0,0,0,false,false
"Stretchers",2026-04-14,2026-04-17T19:36:05.487950,1,7,0,0,0,false,false
"Oxygen Cylinders / Central Oxygen Supply",2026-04-14,2026-04-17T19:36:05.487950,1,7,0,0,3,false,false
"Ventilators",2026-04-14,2026-04-17T19:36:05.487950,1,7,1,7,9,false,false
"MRI Machines",2026-04-14,2026-04-17T19:36:05.487950,1,7,0,0,2,false,false
"Patient Monitors (ECG, BP, SpO2)",2026-04-14,2026-04-17T20:21:14.541530,1,7,0,0,0,false,false
"CT Scanners",2026-04-14,2026-04-17T20:21:14.541530,1,7,0,0,0,false,false
"Wheelchairs",2026-04-14,2026-04-17T20:21:14.541530,1,7,0,0,0,false,false
"Stretchers",2026-04-14,2026-04-17T20:21:14.541530,1,7,0,0,0,false,false
"Oxygen Cylinders / Central Oxygen Supply",2026-04-14,2026-04-17T20:21:14.541530,1,7,0,0,3,false,false
"Ventilators",2026-04-14,2026-04-17T20:21:14.541530,1,7,1,7,9,false,false
"MRI Machines",2026-04-14,2026-04-17T20:21:14.541530,1,7,0,0,2,false,false
"Patient Monitors (ECG, BP, SpO2)",2026-04-14,2026-04-17T20:22:14.527940,1,7,0,0,0,false,false
"CT Scanners",2026-04-14,2026-04-17T20:22:14.527940,1,7,0,0,0,false,false
"Wheelchairs",2026-04-14,2026-04-17T20:22:14.527940,1,7,0,0,0,false,false
"Stretchers",2026-04-14,2026-04-17T20:22:14.527940,1,7,0,0,0,false,false
"Oxygen Cylinders / Central Oxygen Supply",2026-04-14,2026-04-17T20:22:14.527940,1,7,0,0,3,false,false
"Ventilators",2026-04-14,2026-04-17T20:22:14.527940,1,7,1,7,9,false,false
"MRI Machines",2026-04-14,2026-04-17T20:22:14.527940,1,7,0,0,2,false,false
"Patient Monitors (ECG, BP, SpO2)",2026-04-14,2026-04-17T20:23:14.527932,1,7,0,0,0,false,false
"CT Scanners",2026-04-14,2026-04-17T20:23:14.527932,1,7,0,0,0,false,false
"Wheelchairs",2026-04-14,2026-04-17T20:23:14.527932,1,7,0,0,0,false,false
